congress,icpsr,state_icpsr,state_abbrev,senclass,party_code,bioname,ideoscore
115,41704,41,AL,2,200,"STRANGE, Luther",0.68
115,41705,41,AL,2,100,"JONES, Doug",0.51
115,49700,41,AL,2,200,"SESSIONS, Jeff",0.68
115,94659,41,AL,3,200,"SHELBY, Richard",0.68
115,40300,81,AK,3,200,"MURKOWSKI, Lisa",0.58
115,41500,81,AK,2,200,"SULLIVAN, Daniel",0.76
115,15039,61,AZ,3,200,"McCAIN, John",0.82
115,15429,61,AZ,3,200,"KYL, Jon",0.82
115,20100,61,AZ,1,200,"FLAKE, Jeff",0.82
115,20101,42,AR,3,200,"BOOZMAN, John",0.93
115,21301,42,AR,2,200,"COTTON, Tom",0.97
115,41701,71,CA,3,100,"HARRIS, Kamala",0.05
115,49300,71,CA,1,100,"FEINSTEIN, Dianne",0.16
115,21112,62,CO,2,200,"GARDNER, Cory",0.78
115,40910,62,CO,3,100,"BENNET, Michael",0.41
115,20707,1,CT,1,100,"MURPHY, Chris",0.19
115,41101,1,CT,3,100,"BLUMENTHAL, Richard",0.10
115,15015,11,DE,1,100,"CARPER, Thomas",0.25
115,40916,11,DE,2,100,"COONS, Chris",0.42
115,41102,43,FL,3,200,"RUBIO, Marco",0.85
115,49704,43,FL,1,100,"NELSON, Bill",0.48
115,29548,44,GA,3,200,"BURR, Richard",0.83
115,29548,44,GA,2,200,"ISAKSON, John",0.83
115,20713,82,HI,1,100,"HIRONO, Mazie",0.13
115,41112,82,HI,3,100,"SCHATZ, Brian Emanuel",0.24
115,29345,63,ID,3,200,"CRAPO, Michael Dean",0.87
115,40902,63,ID,2,200,"RISCH, James",0.91
115,15021,21,IL,2,100,"DURBIN, Dick",0.14
115,21325,21,IL,3,100,"DUCKWORTH, Tammy",0.19
115,21133,22,IN,3,200,"YOUNG, Todd",0.78
115,29373,22,IN,1,100,"DONNELLY, Joe",0.68
115,14226,31,IA,3,200,"GRASSLEY, Chuck",0.82
115,41502,31,IA,2,200,"ERNST, Joni",0.93
